,name,count,correct_count,correct_mean,correct_std,correct_std_error,correct_instruction_following,correct_correct_logprobs_count,correct_correct_logprobs_mean,correct_correct_logprobs_std,correct_correct_logprobs_std_error,correct_correct_logprobs_instruction_following,correct_incorrect_logprobs_count,correct_incorrect_logprobs_mean,correct_incorrect_logprobs_std,correct_incorrect_logprobs_std_error,correct_incorrect_logprobs_instruction_following,n_comparisons,question,question_model_name,best_count,best_mean,best_std,best_std_error,best_instruction_following,best_correct_logprobs_count,best_correct_logprobs_mean,best_correct_logprobs_std,best_correct_logprobs_std_error,best_correct_logprobs_instruction_following,best_incorrect_logprobs_count,best_incorrect_logprobs_mean,best_incorrect_logprobs_std,best_incorrect_logprobs_std_error,best_incorrect_logprobs_instruction_following,verdict_model_name
0,all,11,11.0,0.36363636363636365,0.4810456929208347,0.14504073367590287,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
1,all,11,,,,,,,,,,,,,,,,1,Amaze me by concisely explaining an important but difficult concept,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,mistralai/Mixtral-8x22B-Instruct-v0.1
2,-1_all,10,10.0,0.4,0.4898979485566356,0.15491933384829665,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
3,-1_c_same_model_family,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
4,-1_c_not_same_model_family,10,10.0,0.4,0.4898979485566356,0.15491933384829665,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
5,-1_c_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
6,-1_c_not_name_drop_flag,10,10.0,0.4,0.4898979485566356,0.15491933384829665,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
7,-1_c_name_drop_any_specific_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
8,-1_c_not_name_drop_any_specific_flag,10,10.0,0.4,0.4898979485566356,0.15491933384829665,1.0,0.0,,,,0.0,0.0,,,,0.0,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
9,-1_c_same_model_family_name_drop_flag,0,0.0,,,,,0.0,,,,,0.0,,,,,1,Amaze me by concisely explaining an important but difficult concept,,,,,,,,,,,,,,,,,mistralai/Mixtral-8x22B-Instruct-v0.1
